date,baseline_predicted_reported,baseline_predicted_reported_and_unreported,baseline_normal_bed_occupancy,baseline_icu_bed_occupancy,baseline_icu_ventilator_occupancy,baseline_normal_bed_requirement,baseline_icu_bed_requirement,baseline_icu_ventilator_requirement,baseline_death_natural_non_exposed,baseline_death_natural_exposed,baseline_death_treated_hospital,baseline_death_treated_icu,baseline_death_treated_ventilator,baseline_death_untreated_hospital,baseline_death_untreated_icu,baseline_death_untreated_ventilator,baseline_reportable_death
11/5/2019,0,13,0,0,0,0,0,0,23529,0,0,0,0,0,0,0,0
11/6/2019,0,16,0,0,0,0,0,0,24182,0,0,0,0,0,0,0,0
11/7/2019,0,18,0,0,0,0,0,0,24835,0,0,0,0,0,0,0,0
11/8/2019,0,21,0,0,0,0,0,0,25488,0,0,0,0,0,0,0,0
11/9/2019,0,23,0,0,0,0,0,0,26141,0,0,0,0,0,0,0,0
11/10/2019,0,26,0,0,0,0,0,0,26793,0,0,0,0,0,0,0,0
11/11/2019,0,28,0,0,0,0,0,0,27446,0,0,0,0,0,0,0,0
11/12/2019,0,28,0,0,0,0,0,0,28099,0,0,0,0,0,0,0,0
11/13/2019,0,29,0,0,0,0,0,0,28751,0,0,0,0,0,0,0,0
11/14/2019,0,29,0,0,0,0,0,0,29404,0,0,0,0,0,0,0,0
11/15/2019,0,30,0,0,0,0,0,0,30056,0,0,0,0,0,0,0,0
11/16/2019,0,31,1,0,0,1,0,0,30709,0,0,0,0,0,0,0,0
11/17/2019,0,33,1,0,0,1,0,0,31361,0,0,0,0,0,0,0,0
11/18/2019,0,34,1,0,0,1,0,0,32013,0,0,0,0,0,0,0,0
11/19/2019,0,35,1,0,0,1,0,0,32666,0,0,0,0,0,0,0,0
11/20/2019,0,37,1,0,0,1,0,0,33318,0,0,0,0,0,0,0,0
11/21/2019,0,39,1,0,0,1,0,0,33970,0,0,0,0,0,0,0,0
11/22/2019,0,41,1,0,0,1,0,0,34623,0,0,0,0,0,0,0,0
11/23/2019,0,43,1,0,0,1,0,0,35275,0,0,0,0,0,0,0,0
11/24/2019,0,45,1,0,0,1,0,0,35927,0,0,0,0,0,0,0,0
11/25/2019,0,47,1,0,0,1,0,0,36579,0,0,0,0,0,0,0,0
11/26/2019,0,49,1,0,0,1,0,0,37231,0,0,0,0,0,0,0,0
11/27/2019,0,52,1,0,0,1,0,0,37883,0,0,0,0,0,0,0,0
11/28/2019,0,54,1,0,0,1,0,0,38535,0,0,0,0,0,0,0,0
11/29/2019,0,57,1,0,0,1,0,0,39187,0,0,0,0,0,0,0,0
11/30/2019,0,60,1,0,0,1,0,0,39839,0,0,0,0,0,0,0,0
12/1/2019,0,63,1,0,0,1,0,0,40491,0,0,0,0,0,0,0,0
12/2/2019,0,66,1,0,0,1,0,0,41143,0,0,0,0,0,0,0,0
12/3/2019,0,69,1,0,0,1,0,0,41794,0,1,0,0,0,0,0,1
12/4/2019,0,73,1,0,0,1,0,0,42446,0,1,0,0,0,0,0,1
12/5/2019,0,77,1,0,0,1,0,0,43098,0,1,0,0,0,0,0,1
12/6/2019,0,81,1,0,0,1,0,0,43750,0,1,0,0,0,0,0,1
12/7/2019,0,85,1,0,0,1,0,0,44401,0,1,0,0,0,0,0,1
12/8/2019,0,89,1,0,0,1,0,0,45053,0,1,0,0,0,0,0,1
12/9/2019,1,94,1,0,0,1,0,0,45704,0,1,0,0,0,0,0,1
12/10/2019,1,99,1,0,0,1,0,0,46356,0,1,0,0,0,0,0,1
12/11/2019,1,104,2,0,1,2,0,1,47007,0,1,0,0,0,0,0,1
12/12/2019,1,109,2,0,1,2,0,1,47659,0,1,0,0,0,0,0,1
12/13/2019,1,115,2,0,1,2,0,1,48310,0,1,0,0,0,0,0,1
12/14/2019,1,121,2,0,1,2,0,1,48962,0,1,0,1,0,0,0,2
12/15/2019,1,127,2,0,1,2,0,1,49613,0,1,0,1,0,0,0,2
12/16/2019,1,134,2,0,1,2,0,1,50264,1,1,0,1,0,0,0,3
12/17/2019,1,141,2,0,1,2,0,1,50916,1,1,0,1,0,0,0,3
12/18/2019,1,148,2,0,1,2,0,1,51567,1,1,0,1,0,0,0,3
12/19/2019,1,156,2,0,1,2,0,1,52218,1,1,0,1,0,0,0,3
12/20/2019,1,164,2,0,1,2,0,1,52869,1,1,0,1,0,0,0,3
12/21/2019,1,173,3,0,1,3,0,1,53520,1,1,0,1,0,0,0,3
12/22/2019,1,182,3,0,1,3,0,1,54171,1,1,0,1,0,0,0,3
12/23/2019,1,191,3,1,1,3,1,1,54822,1,2,0,1,0,0,0,4
12/24/2019,1,201,3,1,1,3,1,1,55473,1,2,0,1,0,0,0,4
12/25/2019,1,212,3,1,1,3,1,1,56124,1,2,0,1,0,0,0,4
12/26/2019,1,223,3,1,1,3,1,1,56775,1,2,0,1,0,0,0,4
12/27/2019,1,235,4,1,1,4,1,1,57426,1,2,0,1,0,0,0,4
12/28/2019,1,247,4,1,1,4,1,1,58077,1,2,0,1,0,0,0,4
12/29/2019,1,260,4,1,1,4,1,1,58728,1,2,0,1,0,0,0,4
12/30/2019,1,273,4,1,1,4,1,1,59378,1,2,0,1,0,0,0,4
12/31/2019,2,288,4,1,1,4,1,1,60029,1,2,0,1,0,0,0,4
1/1/2020,2,303,5,1,1,5,1,1,60680,1,2,0,1,0,0,0,4
1/2/2020,2,318,5,1,2,5,1,2,61331,1,3,0,1,0,0,0,5
1/3/2020,2,335,5,1,2,5,1,2,61981,1,3,0,2,0,0,0,6
1/4/2020,2,353,5,1,2,5,1,2,62632,1,3,0,2,0,0,0,6
1/5/2020,2,371,6,1,2,6,1,2,63282,1,3,0,2,0,0,0,6
1/6/2020,2,390,6,1,2,6,1,2,63933,2,3,0,2,0,0,0,7
1/7/2020,2,411,6,1,2,6,1,2,64583,2,3,0,2,0,0,0,7
1/8/2020,2,432,7,1,2,7,1,2,65234,2,4,0,2,0,0,0,8
1/9/2020,2,455,7,1,2,7,1,2,65884,2,4,0,2,0,0,0,8
1/10/2020,3,478,7,1,2,7,1,2,66534,2,4,0,2,0,0,0,8
1/11/2020,3,503,8,1,2,8,1,2,67184,2,4,0,2,0,0,0,8
1/12/2020,3,530,8,1,3,8,1,3,67835,2,4,1,2,0,0,0,9
1/13/2020,3,557,8,1,3,8,1,3,68485,2,5,1,3,0,0,0,11
1/14/2020,3,586,9,2,3,9,2,3,69135,2,5,1,3,0,0,0,11
1/15/2020,3,617,9,2,3,9,2,3,69785,2,5,1,3,0,0,0,11
1/16/2020,4,649,10,2,3,10,2,3,70435,3,5,1,3,0,0,0,12
1/17/2020,4,683,10,2,3,10,2,3,71085,3,6,1,3,0,0,0,13
1/18/2020,4,718,11,2,3,11,2,3,71735,3,6,1,3,0,0,0,13
1/19/2020,4,756,11,2,4,11,2,4,72385,3,6,1,3,0,0,0,13
