Province,Cases,Deaths,Recoveries,Active Cases,Tests,Date
#adm1+name,#affected+infected+cases,#affected+infected+deaths,#affected+infected+recoveries,#affected+infected+active,,#date
Kabul Province,692,15,106,,,2020-05-02
Kandahar Province,314,7,7,,,2020-05-02
Kapisa Province,15,0,2,,,2020-05-02
Khost Province,6,0,0,,,2020-05-02
Kunar Province,21,0,1,,,2020-05-02
Kunduz Province,37,0,5,,,2020-05-02
Laghman Province,39,0,1,,,2020-05-02
Logar Province,44,1,6,,,2020-05-02
Nangarhar Province,57,8,3,,,2020-05-02
Nimruz Province,52,0,5,,,2020-05-02
Paktia Province,55,1,6,,,2020-05-02
Paktika Province,14,1,1,,,2020-05-02
Panjshir Province,24,0,0,,,2020-05-02
Parwan Province,7,0,0,,,2020-05-02
Samangan Province,26,0,6,,,2020-05-02
Sar-e Pol Province,7,1,0,,,2020-05-02
Takhar Province,46,4,1,,,2020-05-02
Urozgan Province,3,0,0,,,2020-05-02
Wardak Province,13,1,0,,,2020-05-02
Zabul Province,10,0,3,,,2020-05-02
Badakhshan Province,2,0,1,,,2020-05-01
Badghis Province,14,0,2,,,2020-05-01
Baghlan Province,27,2,3,,,2020-05-01
Balkh Province,169,8,3,,,2020-05-01
Bamyan Province,7,0,5,,,2020-05-01
Daykundi Province,9,1,5,,,2020-05-01
Farah Province,9,0,6,,,2020-05-01
Faryab Province,9,0,1,,,2020-05-01
Ghazni Province,54,3,3,,,2020-05-01
Ghor Province,10,0,1,,,2020-05-01
Helmand Province,24,0,0,,,2020-05-01
Herat Province,475,12,110,,,2020-05-01
Jowzjan Province,10,1,0,,,2020-05-01
Kabul Province,573,15,75,,,2020-05-01
Kandahar Province,299,7,7,,,2020-05-01
Kapisa Province,10,0,2,,,2020-05-01
Khost Province,6,0,0,,,2020-05-01
Kunar Province,21,0,1,,,2020-05-01
Kunduz Province,37,0,5,,,2020-05-01
Laghman Province,36,0,1,,,2020-05-01
Logar Province,39,1,2,,,2020-05-01
Nangarhar Province,41,5,2,,,2020-05-01
Nimruz Province,52,0,5,,,2020-05-01
Paktia Province,55,1,6,,,2020-05-01
Paktika Province,14,1,1,,,2020-05-01
Panjshir Province,24,0,0,,,2020-05-01
Parwan Province,6,0,0,,,2020-05-01
Samangan Province,26,0,6,,,2020-05-01
Sar-e Pol Province,7,1,0,,,2020-05-01
Takhar Province,42,4,1,,,2020-05-01
Urozgan Province,3,0,0,,,2020-05-01
Wardak Province,10,1,0,,,2020-05-01
Zabul Province,8,0,2,,,2020-05-01
Badakhshan Province,2,0,1,,,2020-04-30
Badghis Province,14,0,2,,,2020-04-30
Baghlan Province,27,2,3,,,2020-04-30
Balkh Province,169,8,3,,,2020-04-30
Bamyan Province,7,0,5,,,2020-04-30
Daykundi Province,9,1,5,,,2020-04-30
Farah Province,9,0,6,,,2020-04-30
Faryab Province,9,0,1,,,2020-04-30
Ghazni Province,54,3,3,,,2020-04-30
Ghor Province,10,0,1,,,2020-04-30
Helmand Province,24,0,0,,,2020-04-30
Herat Province,475,12,110,,,2020-04-30
Jowzjan Province,10,1,0,,,2020-04-30
Kabul Province,573,15,75,,,2020-04-30
Kandahar Province,299,7,7,,,2020-04-30
Kapisa Province,10,0,2,,,2020-04-30
Khost Province,6,0,0,,,2020-04-30
Kunar Province,21,0,1,,,2020-04-30
Kunduz Province,37,0,5,,,2020-04-30
Laghman Province,36,0,1,,,2020-04-30
Logar Province,39,1,2,,,2020-04-30
Nangarhar Province,41,5,2,,,2020-04-30
Nimruz Province,52,0,5,,,2020-04-30
Paktia Province,55,1,6,,,2020-04-30
Paktika Province,14,1,1,,,2020-04-30
Panjshir Province,24,0,0,,,2020-04-30
Parwan Province,6,0,0,,,2020-04-30
Samangan Province,26,0,6,,,2020-04-30
Sar-e Pol Province,7,1,0,,,2020-04-30
Takhar Province,42,4,1,,,2020-04-30
Urozgan Province,3,0,0,,,2020-04-30
Wardak Province,10,1,0,,,2020-04-30
Zabul Province,8,0,2,,,2020-04-30
Badakhshan Province,2,0,1,,,2020-04-29
Badghis Province,10,0,2,,,2020-04-29
Baghlan Province,22,2,2,,,2020-04-29
Balkh Province,128,8,3,,,2020-04-29
Bamyan Province,7,0,2,,,2020-04-29
Daykundi Province,9,1,1,,,2020-04-29
Farah Province,9,0,6,,,2020-04-29
Faryab Province,8,0,1,,,2020-04-29
Ghazni Province,36,3,3,,,2020-04-29
Ghor Province,10,0,1,,,2020-04-29
Helmand Province,22,0,0,,,2020-04-29
Herat Province,441,13,110,,,2020-04-29
Jowzjan Province,10,1,0,,,2020-04-29
Kabul Province,553,14,71,,,2020-04-29
Kandahar Province,239,6,9,,,2020-04-29
Kapisa Province,10,0,2,,,2020-04-29
Khost Province,6,0,0,,,2020-04-29
Kunar Province,21,2,0,,,2020-04-29
Kunduz Province,30,0,1,,,2020-04-29
Laghman Province,28,0,0,,,2020-04-29
Logar Province,29,1,2,,,2020-04-29
Nangarhar Province,41,5,2,,,2020-04-29
Nimruz Province,52,0,5,,,2020-04-29
Paktia Province,55,1,6,,,2020-04-29
Paktika Province,19,1,1,,,2020-04-29
Panjshir Province,15,0,0,,,2020-04-29
Parwan Province,4,0,0,,,2020-04-29
Samangan Province,16,0,6,,,2020-04-29
Sar-e Pol Province,6,1,0,,,2020-04-29
Takhar Province,31,2,1,,,2020-04-29
Urozgan Province,3,0,0,,,2020-04-29
Wardak Province,7,0,0,,,2020-04-29
Zabul Province,8,0,2,,,2020-04-29
Badakhshan Province,2,0,1,,,2020-04-28
Badghis Province,10,0,2,,,2020-04-28
Baghlan Province,22,2,2,,,2020-04-28
Balkh Province,128,8,3,,,2020-04-28
Bamyan Province,7,0,2,,,2020-04-28
Daykundi Province,9,1,1,,,2020-04-28
Farah Province,9,0,6,,,2020-04-28
Faryab Province,8,0,1,,,2020-04-28
Ghazni Province,36,3,3,,,2020-04-28
Ghor Province,10,0,1,,,2020-04-28
Helmand Province,22,0,0,,,2020-04-28
Herat Province,441,10,110,,,2020-04-28
Jowzjan Province,10,1,0,,,2020-04-28
Kabul Province,494,14,60,,,2020-04-28
Kandahar Province,239,6,9,,,2020-04-28
Kapisa Province,10,0,2,,,2020-04-28
Khost Province,6,0,0,,,2020-04-28
Kunar Province,21,2,0,,,2020-04-28
Kunduz Province,30,0,1,,,2020-04-28
Laghman Province,28,0,0,,,2020-04-28
Logar Province,29,1,2,,,2020-04-28
Nangarhar Province,41,5,2,,,2020-04-28
Nimruz Province,52,0,5,,,2020-04-28
Paktia Province,55,1,6,,,2020-04-28
Paktika Province,19,1,1,,,2020-04-28
Panjshir Province,15,0,0,,,2020-04-28
Parwan Province,4,0,0,,,2020-04-28
Samangan Province,16,0,6,,,2020-04-28
Sar-e Pol Province,6,0,1,,,2020-04-28
Takhar Province,31,2,1,,,2020-04-28
Urozgan Province,3,0,0,,,2020-04-28
Wardak Province,7,0,0,,,2020-04-28
Zabul Province,8,0,2,,,2020-04-28
Badakhshan Province,1,0,1,,,2020-04-27
Badghis Province,9,0,0,,,2020-04-27
Baghlan Province,22,2,2,,,2020-04-27
Balkh Province,91,6,3,,,2020-04-27
Bamyan Province,10,0,2,,,2020-04-27
Daykundi Province,9,1,1,,,2020-04-27
Farah Province,10,0,6,,,2020-04-27
Faryab Province,9,0,1,,,2020-04-27
Ghazni Province,32,4,3,,,2020-04-27
Ghor Province,10,0,1,,,2020-04-27
Helmand Province,24,0,0,,,2020-04-27
Herat Province,456,10,102,,,2020-04-27
Jowzjan Province,11,1,0,,,2020-04-27
Kabul Province,507,14,45,,,2020-04-27
Kandahar Province,245,5,6,,,2020-04-27
Kapisa Province,13,0,2,,,2020-04-27
Khost Province,6,0,0,,,2020-04-27
Kunar Province,23,1,0,,,2020-04-27
Kunduz Province,30,0,1,,,2020-04-27
Laghman Province,23,0,0,,,2020-04-27
Logar Province,19,1,2,,,2020-04-27
Nangarhar Province,36,2,0,,,2020-04-27
Nimruz Province,53,0,5,,,2020-04-27
Paktia Province,55,1,0,,,2020-04-27
Paktika Province,11,1,0,,,2020-04-27
Panjshir Province,8,0,0,,,2020-04-27
Parwan Province,5,0,0,,,2020-04-27
Samangan Province,17,0,6,,,2020-04-27
Sar-e Pol Province,6,0,0,,,2020-04-27
Takhar Province,21,2,0,,,2020-04-27
Urozgan Province,3,0,0,,,2020-04-27
Wardak Province,6,0,0,,,2020-04-27
Zabul Province,10,0,2,,,2020-04-27
Badakhshan Province,1,0,1,,,2020-04-26
Badghis Province,3,0,0,,,2020-04-26
Baghlan Province,13,2,2,,,2020-04-26
Balkh Province,76,6,3,,,2020-04-26
Bamyan Province,10,0,2,,,2020-04-26
Daykundi Province,9,1,1,,,2020-04-26
Farah Province,10,0,6,,,2020-04-26
Faryab Province,5,0,1,,,2020-04-26
Ghazni Province,19,2,3,,,2020-04-26
Ghor Province,5,0,1,,,2020-04-26
Helmand Province,22,0,0,,,2020-04-26
Herat Province,390,8,97,,,2020-04-26
Jowzjan Province,11,1,0,,,2020-04-26
Kabul Province,474,14,45,,,2020-04-26
Kandahar Province,224,5,6,,,2020-04-26
Kapisa Province,13,0,2,,,2020-04-26
Kunar Province,22,1,0,,,2020-04-26
Kunduz Province,23,0,1,,,2020-04-26
Laghman Province,20,0,0,,,2020-04-26
Logar Province,19,1,2,,,2020-04-26
Nangarhar Province,32,2,0,,,2020-04-26
Nimruz Province,53,0,5,,,2020-04-26
Paktia Province,35,1,0,,,2020-04-26
Paktika Province,2,1,0,,,2020-04-26
Panjshir Province,7,0,0,,,2020-04-26
Parwan Province,5,0,0,,,2020-04-26
Samangan Province,13,0,6,,,2020-04-26
Sar-e Pol Province,1,0,0,,,2020-04-26
Takhar Province,21,2,0,,,2020-04-26
Urozgan Province,3,0,0,,,2020-04-26
Wardak Province,6,0,0,,,2020-04-26
Zabul Province,10,0,2,,,2020-04-26
Badakhshan Province,1,0,1,,,2020-04-25
Badghis Province,3,0,0,,,2020-04-25
Baghlan Province,13,2,2,,,2020-04-25
Balkh Province,76,6,3,,,2020-04-25
Bamyan Province,10,0,2,,,2020-04-25
Daykundi Province,9,1,1,,,2020-04-25
Farah Province,10,0,6,,,2020-04-25
Faryab Province,5,0,1,,,2020-04-25
Ghazni Province,19,2,3,,,2020-04-25
Ghor Province,5,0,1,,,2020-04-25
Helmand Province,22,0,0,,,2020-04-25
Herat Province,386,7,100,,,2020-04-25
Jowzjan Province,11,1,0,,,2020-04-25
Kabul Province,474,14,45,,,2020-04-25
Kandahar Province,225,4,6,,,2020-04-25
Kapisa Province,13,0,2,,,2020-04-25
Kunar Province,19,1,0,,,2020-04-25
Kunduz Province,24,0,1,,,2020-04-25
Laghman Province,19,0,0,,,2020-04-25
Logar Province,19,1,2,,,2020-04-25
Nangarhar Province,28,2,0,,,2020-04-25
Nimruz Province,53,0,5,,,2020-04-25
Paktia Province,35,1,0,,,2020-04-25
Paktika Province,2,1,0,,,2020-04-25
Panjshir Province,7,0,0,,,2020-04-25
Parwan Province,5,0,0,,,2020-04-25
Samangan Province,13,0,6,,,2020-04-25
Sar-e Pol Province,1,0,0,,,2020-04-25
Takhar Province,21,2,0,,,2020-04-25
Urozgan Province,3,0,0,,,2020-04-25
Wardak Province,6,0,0,,,2020-04-25
Zabul Province,10,0,2,,,2020-04-25
Badakhshan Province,1,0,1,,,2020-04-24
Badghis Province,3,0,0,,,2020-04-24
Baghlan Province,12,2,2,,,2020-04-24
Balkh Province,55,6,3,,,2020-04-24
Bamyan Province,8,0,2,,,2020-04-24
Daykundi Province,8,1,1,,,2020-04-24
Farah Province,8,0,6,,,2020-04-24
Faryab Province,5,0,1,,,2020-04-24
Ghazni Province,17,1,3,,,2020-04-24
Ghor Province,4,0,1,,,2020-04-24
Helmand Province,21,0,0,,,2020-04-24
Herat Province,363,7,95,,,2020-04-24
Jowzjan Province,11,1,0,,,2020-04-24
Kabul Province,447,14,45,,,2020-04-24
Kandahar Province,205,3,2,,,2020-04-24
Kapisa Province,10,0,2,,,2020-04-24
Kunar Province,19,0,0,,,2020-04-24
Kunduz Province,24,0,1,,,2020-04-24
Laghman Province,19,0,0,,,2020-04-24
Logar Province,16,1,2,,,2020-04-24
Nangarhar Province,27,2,0,,,2020-04-24
Nimruz Province,45,0,5,,,2020-04-24
Paktia Province,19,0,0,,,2020-04-24
Paktika Province,2,0,0,,,2020-04-24
Panjshir Province,7,0,0,,,2020-04-24
Parwan Province,3,0,0,,,2020-04-24
Samangan Province,8,0,6,,,2020-04-24
Sar-e Pol Province,1,0,0,,,2020-04-24
Takhar Province,8,2,0,,,2020-04-24
Urozgan Province,1,0,0,,,2020-04-24
Wardak Province,6,0,0,,,2020-04-24
Zabul Province,7,0,2,,,2020-04-24
Badakhshan Province,1,0,0,,,2020-04-23
Badghis Province,2,0,0,,,2020-04-23
Baghlan Province,10,0,0,,,2020-04-23
Balkh Province,47,6,2,,,2020-04-23
Bamyan Province,7,0,0,,,2020-04-23
Daykundi Province,7,1,0,,,2020-04-23
Farah Province,7,0,0,,,2020-04-23
Faryab Province,5,0,0,,,2020-04-23
Ghazni Province,14,0,0,,,2020-04-23
Ghor Province,4,0,1,,,2020-04-23
Helmand Province,17,0,0,,,2020-04-23
Herat Province,350,4,48,,,2020-04-23
Jowzjan Province,11,1,0,,,2020-04-23
Kabul Province,416,9,11,,,2020-04-23
Kandahar Province,130,1,1,,,2020-04-23
Kapisa Province,10,0,0,,,2020-04-23
Kunar Province,19,0,0,,,2020-04-23
Kunduz Province,24,0,0,,,2020-04-23
Laghman Province,19,0,0,,,2020-04-23
Logar Province,15,0,0,,,2020-04-23
Nangarhar Province,27,2,0,,,2020-04-23
Nimruz Province,45,0,0,,,2020-04-23
Paktia Province,18,0,0,,,2020-04-23
Panjshir Province,2,0,0,,,2020-04-23
Parwan Province,3,0,0,,,2020-04-23
Samangan Province,8,0,0,,,2020-04-23
Sar-e Pol Province,1,0,0,,,2020-04-23
Takhar Province,7,1,0,,,2020-04-23
Urozgan Province,1,0,0,,,2020-04-23
Wardak Province,6,0,0,,,2020-04-23
Zabul Province,5,0,0,,,2020-04-23
Badakhshan Province,1,0,0,,,2020-04-22
Badghis Province,2,0,0,,,2020-04-22
Baghlan Province,10,0,0,,,2020-04-22
Balkh Province,47,6,2,,,2020-04-22
Bamyan Province,7,0,0,,,2020-04-22
Daykundi Province,7,1,0,,,2020-04-22
Farah Province,7,0,0,,,2020-04-22
Faryab Province,5,0,0,,,2020-04-22
Ghazni Province,12,0,0,,,2020-04-22
Ghor Province,4,0,1,,,2020-04-22
Helmand Province,13,0,0,,,2020-04-22
Herat Province,326,4,48,,,2020-04-22
Jowzjan Province,1,1,0,,,2020-04-22
Kabul Province,410,9,11,,,2020-04-22
Kandahar Province,108,1,1,,,2020-04-22
Kapisa Province,6,0,0,,,2020-04-22
Kunar Province,16,0,0,,,2020-04-22
Kunduz Province,9,0,0,,,2020-04-22
Laghman Province,19,0,0,,,2020-04-22
Logar Province,11,0,0,,,2020-04-22
Nangarhar Province,21,2,0,,,2020-04-22
Nimruz Province,35,0,0,,,2020-04-22
Paktia Province,18,0,0,,,2020-04-22
Parwan Province,2,0,0,,,2020-04-22
Samangan Province,8,0,0,,,2020-04-22
Sar-e Pol Province,1,0,0,,,2020-04-22
Takhar Province,6,1,0,,,2020-04-22
Urozgan Province,1,0,0,,,2020-04-22
Wardak Province,6,0,0,,,2020-04-22
Zabul Province,3,0,0,,,2020-04-22
Badakhshan Province,1,0,0,,,2020-04-21
Badghis Province,2,0,0,,,2020-04-21
Baghlan Province,10,0,0,,,2020-04-21
Balkh Province,47,6,2,,,2020-04-21
Bamyan Province,6,0,0,,,2020-04-21
Daykundi Province,7,1,0,,,2020-04-21
Farah Province,6,0,0,,,2020-04-21
Faryab Province,5,0,0,,,2020-04-21
Ghazni Province,10,0,0,,,2020-04-21
Ghor Province,4,0,1,,,2020-04-21
Helmand Province,13,0,0,,,2020-04-21
Herat Province,323,4,48,,,2020-04-21
Jowzjan Province,1,1,0,,,2020-04-21
Kabul Province,382,9,11,,,2020-04-21
Kandahar Province,108,1,1,,,2020-04-21
Kapisa Province,2,0,0,,,2020-04-21
Kunar Province,13,0,0,,,2020-04-21
Kunduz Province,9,0,0,,,2020-04-21
Laghman Province,18,0,0,,,2020-04-21
Logar Province,11,0,0,,,2020-04-21
Nangarhar Province,15,2,0,,,2020-04-21
Nimruz Province,35,0,0,,,2020-04-21
Paktia Province,17,0,0,,,2020-04-21
Parwan Province,1,0,0,,,2020-04-21
Samangan Province,8,0,0,,,2020-04-21
Sar-e Pol Province,1,0,0,,,2020-04-21
Takhar Province,6,1,0,,,2020-04-21
Urozgan Province,1,0,0,,,2020-04-21
Wardak Province,6,0,0,,,2020-04-21
Zabul Province,3,0,0,,,2020-04-21
Badakhshan Province,1,0,0,,,2020-04-19
Badghis Province,2,0,0,,,2020-04-19
Baghlan Province,6,0,0,,,2020-04-19
Balkh Province,47,6,2,,,2020-04-19
Bamyan Province,6,0,0,,,2020-04-19
Daykundi Province,7,1,0,,,2020-04-19
Farah Province,6,0,0,,,2020-04-19
Faryab Province,5,0,0,,,2020-04-19
Ghazni Province,10,0,0,,,2020-04-19
Ghor Province,4,0,1,,,2020-04-19
Helmand Province,13,0,0,,,2020-04-19
Herat Province,317,4,48,,,2020-04-19
Jowzjan Province,1,0,0,,,2020-04-19
Kabul Province,315,6,11,,,2020-04-19
Kandahar Province,108,0,1,,,2020-04-19
Kapisa Province,2,0,0,,,2020-04-19
Kunar Province,9,0,0,,,2020-04-19
Kunduz Province,9,0,0,,,2020-04-19
Laghman Province,4,0,0,,,2020-04-19
Logar Province,11,0,0,,,2020-04-19
Nangarhar Province,10,2,0,,,2020-04-19
Nimruz Province,35,0,0,,,2020-04-19
Paktia Province,16,0,0,,,2020-04-19
Parwan Province,1,0,0,,,2020-04-19
Samangan Province,8,0,0,,,2020-04-19
Sar-e Pol Province,1,0,0,,,2020-04-19
Takhar Province,6,1,0,,,2020-04-19
Urozgan Province,1,0,0,,,2020-04-19
Wardak Province,6,0,0,,,2020-04-19
Zabul Province,3,0,0,,,2020-04-19
Badakhshan Province,1,0,0,,,2020-04-18
Badghis Province,2,0,0,,,2020-04-18
Baghlan Province,3,0,0,,,2020-04-18
Balkh Province,31,6,2,,,2020-04-18
Bamyan Province,6,0,0,,,2020-04-18
Daykundi Province,7,1,0,,,2020-04-18
Farah Province,6,0,0,,,2020-04-18
Faryab Province,4,0,0,,,2020-04-18
Ghazni Province,10,0,0,,,2020-04-18
Ghor Province,4,0,1,,,2020-04-18
Helmand Province,13,0,0,,,2020-04-18
Herat Province,313,4,48,,,2020-04-18
Kabul Province,315,6,11,,,2020-04-18
Kandahar Province,108,0,1,,,2020-04-18
Kapisa Province,2,0,0,,,2020-04-18
Kunar Province,3,0,0,,,2020-04-18
Kunduz Province,9,0,0,,,2020-04-18
Laghman Province,3,0,0,,,2020-04-18
Logar Province,11,0,0,,,2020-04-18
Nangarhar Province,10,2,0,,,2020-04-18
Nimruz Province,35,0,0,,,2020-04-18
Paktia Province,16,0,0,,,2020-04-18
Parwan Province,1,0,0,,,2020-04-18
Samangan Province,8,0,0,,,2020-04-18
Sar-e Pol Province,1,0,0,,,2020-04-18
Takhar Province,6,1,0,,,2020-04-18
Urozgan Province,1,0,0,,,2020-04-18
Wardak Province,6,0,0,,,2020-04-18
Zabul Province,3,0,0,,,2020-04-18
Badakhshan Province,1,0,0,,,2020-04-17
Badghis Province,2,0,0,,,2020-04-17
Baghlan Province,3,0,0,,,2020-04-17
Balkh Province,31,5,2,,,2020-04-17
Bamyan Province,5,0,0,,,2020-04-17
Daykundi Province,6,1,0,,,2020-04-17
Farah Province,6,0,0,,,2020-04-17
Faryab Province,4,0,0,,,2020-04-17
Ghazni Province,10,0,0,,,2020-04-17
Ghor Province,4,0,1,,,2020-04-17
Helmand Province,13,0,0,,,2020-04-17
Herat Province,311,4,48,,,2020-04-17
Kabul Province,272,6,11,,,2020-04-17
Kandahar Province,108,0,1,,,2020-04-17
Kapisa Province,2,0,0,,,2020-04-17
Kunar Province,3,0,0,,,2020-04-17
Kunduz Province,9,0,0,,,2020-04-17
Laghman Province,3,0,0,,,2020-04-17
Logar Province,7,0,0,,,2020-04-17
Nangarhar Province,10,2,0,,,2020-04-17
Nimruz Province,35,0,0,,,2020-04-17
Paktia Province,9,0,0,,,2020-04-17
Parwan Province,1,0,0,,,2020-04-17
Samangan Province,8,0,0,,,2020-04-17
Sar-e Pol Province,1,0,0,,,2020-04-17
Takhar Province,6,1,0,,,2020-04-17
Urozgan Province,1,0,0,,,2020-04-17
Wardak Province,6,0,0,,,2020-04-17
Zabul Province,3,0,0,,,2020-04-17
Badakhshan Province,1,0,0,,,2020-04-16
Badghis Province,2,0,0,,,2020-04-16
Baghlan Province,3,0,0,,,2020-04-16
Balkh Province,25,4,1,,,2020-04-16
Bamyan Province,5,0,0,,,2020-04-16
Daykundi Province,6,1,0,,,2020-04-16
Farah Province,6,0,0,,,2020-04-16
Faryab Province,4,0,0,,,2020-04-16
Ghazni Province,10,0,0,,,2020-04-16
Ghor Province,4,0,0,,,2020-04-16
Helmand Province,9,0,0,,,2020-04-16
Herat Province,306,4,5,,,2020-04-16
Kabul Province,209,6,11,,,2020-04-16
Kandahar Province,93,0,0,,,2020-04-16
Kapisa Province,2,0,0,,,2020-04-16
Kunar Province,2,0,0,,,2020-04-16
Kunduz Province,4,0,0,,,2020-04-16
Logar Province,7,0,0,,,2020-04-16
Nangarhar Province,9,2,0,,,2020-04-16
Nimruz Province,35,0,0,,,2020-04-16
Paktia Province,9,0,0,,,2020-04-16
Parwan Province,1,0,0,,,2020-04-16
Samangan Province,8,0,0,,,2020-04-16
Sar-e Pol Province,1,0,0,,,2020-04-16
Takhar Province,6,1,0,,,2020-04-16
Urozgan Province,1,0,0,,,2020-04-16
Wardak Province,6,0,0,,,2020-04-16
Zabul Province,3,0,0,,,2020-04-16
Balkh Province,25,4,1,,,2020-04-14
Bamyan Province,5,0,0,,,2020-04-14
Daykundi Province,6,1,0,,,2020-04-14
Farah Province,6,0,0,,,2020-04-14
Faryab Province,3,0,0,,,2020-04-14
Ghazni Province,7,0,0,,,2020-04-14
Ghor Province,4,0,0,,,2020-04-14
Helmand Province,9,0,0,,,2020-04-14
Herat Province,284,4,5,,,2020-04-14
Kabul Province,164,5,0,,,2020-04-14
Kandahar Province,90,0,0,,,2020-04-14
Kapisa Province,2,0,0,,,2020-04-14
Kunduz Province,4,0,0,,,2020-04-14
Logar Province,7,0,0,,,2020-04-14
Nangarhar Province,7,2,0,,,2020-04-14
Nimruz Province,33,0,0,,,2020-04-14
Paktia Province,9,0,0,,,2020-04-14
Parwan Province,1,0,0,,,2020-04-14
Samangan Province,8,0,0,,,2020-04-14
Sar-e Pol Province,1,0,0,,,2020-04-14
Takhar Province,6,1,0,,,2020-04-14
Wardak Province,4,0,0,,,2020-04-14
Zabul Province,3,0,0,,,2020-04-14
Badghis Province,2,0,0,,,2020-04-13
Baghlan Province,2,0,0,,,2020-04-13
Balkh Province,19,4,1,,,2020-04-13
Bamyan Province,5,0,0,,,2020-04-13
Daykundi Province,6,1,0,,,2020-04-13
Farah Province,6,0,0,,,2020-04-13
Faryab Province,3,0,0,,,2020-04-13
Ghazni Province,3,0,0,,,2020-04-13
Ghor Province,4,0,0,,,2020-04-13
Helmand Province,9,0,0,,,2020-04-13
Herat Province,280,4,5,,,2020-04-13
Kabul Province,146,5,0,,,2020-04-13
Kandahar Province,75,0,0,,,2020-04-13
Kapisa Province,2,0,0,,,2020-04-13
Kunduz Province,4,0,0,,,2020-04-13
Logar Province,7,0,0,,,2020-04-13
Nangarhar Province,5,2,0,,,2020-04-13
Nimruz Province,33,0,0,,,2020-04-13
Paktia Province,9,0,0,,,2020-04-13
Parwan Province,1,0,0,,,2020-04-13
Samangan Province,8,0,0,,,2020-04-13
Sar-e Pol Province,1,0,0,,,2020-04-13
Takhar Province,6,1,0,,,2020-04-13
Wardak Province,4,0,0,,,2020-04-13
Zabul Province,3,0,0,,,2020-04-13
Badghis Province,2,0,0,,,2020-04-12
Baghlan Province,2,0,0,,,2020-04-12
Balkh Province,19,4,1,,,2020-04-12
Bamyan Province,5,0,0,,,2020-04-12
Daykundi Province,6,1,0,,,2020-04-12
Farah Province,6,0,0,,,2020-04-12
Faryab Province,3,0,0,,,2020-04-12
Ghazni Province,3,0,0,,,2020-04-12
Ghor Province,4,0,0,,,2020-04-12
Helmand Province,1,0,0,,,2020-04-12
Herat Province,280,4,5,,,2020-04-12
Kabul Province,133,5,0,,,2020-04-12
Kandahar Province,45,0,0,,,2020-04-12
Kapisa Province,2,0,0,,,2020-04-12
Kunduz Province,3,0,0,,,2020-04-12
Logar Province,7,0,0,,,2020-04-12
Nangarhar Province,5,2,0,,,2020-04-12
Nimruz Province,27,0,0,,,2020-04-12
Paktia Province,9,0,0,,,2020-04-12
Parwan Province,1,0,0,,,2020-04-12
Samangan Province,8,0,0,,,2020-04-12
Sar-e Pol Province,1,0,0,,,2020-04-12
Takhar Province,3,1,0,,,2020-04-12
Wardak Province,4,0,0,,,2020-04-12
Zabul Province,3,0,0,,,2020-04-12
Badakhshan Province,1,0,0,,,2020-04-11
Badghis Province,1,0,0,,,2020-04-11
Baghlan Province,1,0,0,,,2020-04-11
Balkh Province,13,4,1,,,2020-04-11
Bamyan Province,3,0,0,,,2020-04-11
Daykundi Province,6,1,0,,,2020-04-11
Farah Province,6,0,0,,,2020-04-11
Faryab Province,3,0,0,,,2020-04-11
Ghazni Province,3,0,0,,,2020-04-11
Ghor Province,3,0,0,,,2020-04-11
Helmand Province,,0,0,,,2020-04-11
Herat Province,265,4,5,,,2020-04-11
Kabul Province,97,3,0,,,2020-04-11
Kandahar Province,32,0,0,,,2020-04-11
Kapisa Province,2,0,0,,,2020-04-11
Kunduz Province,3,0,0,,,2020-04-11
Logar Province,7,0,0,,,2020-04-11
Nangarhar Province,4,2,0,,,2020-04-11
Nimruz Province,23,0,0,,,2020-04-11
Paktia Province,8,0,0,,,2020-04-11
Parwan Province,1,0,0,,,2020-04-11
Samangan Province,8,0,0,,,2020-04-11
Sar-e Pol Province,1,0,0,,,2020-04-11
Takhar Province,3,1,0,,,2020-04-11
Wardak Province,,0,0,,,2020-04-11
Zabul Province,3,0,0,,,2020-04-11
Badakhshan Province,1,0,0,,,2020-04-09
Badghis Province,1,0,0,,,2020-04-09
Baghlan Province,1,0,0,,,2020-04-09
Balkh Province,13,4,1,,,2020-04-09
Bamyan Province,2,0,0,,,2020-04-09
Daykundi Province,4,1,0,,,2020-04-09
Farah Province,6,0,0,,,2020-04-09
Faryab Province,3,0,0,,,2020-04-09
Ghazni Province,3,0,0,,,2020-04-09
Ghor Province,3,0,0,,,2020-04-09
Helmand Province,,0,0,,,2020-04-09
Herat Province,257,4,5,,,2020-04-09
Kabul Province,81,3,0,,,2020-04-09
Kandahar Province,30,0,0,,,2020-04-09
Kapisa Province,2,0,0,,,2020-04-09
Kunduz Province,3,0,0,,,2020-04-09
Logar Province,5,0,0,,,2020-04-09
Nangarhar Province,4,2,0,,,2020-04-09
Nimruz Province,23,0,0,,,2020-04-09
Paktia Province,8,0,0,,,2020-04-09
Samangan Province,8,0,0,,,2020-04-09
Sar-e Pol Province,1,0,0,,,2020-04-09
Takhar Province,1,1,0,,,2020-04-09
Wardak Province,,0,0,,,2020-04-09
Zabul Province,3,0,0,,,2020-04-09
Badakhshan Province,1,0,0,,,2020-04-08
Badghis Province,1,0,0,,,2020-04-08
Baghlan Province,1,0,0,,,2020-04-08
Balkh Province,11,1,1,,,2020-04-08
Daykundi Province,4,0,0,,,2020-04-08
Farah Province,6,0,0,,,2020-04-08
